rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
500.0,524,233472,444,500.0,114,0.0028757364,0.0018365585710853338,0.0003,0.020361328125,1130,-6.429103851318359,0.2,1.7333615005554747e-07,-0.2434033380821347,-0.0006075749559386167
500.0,521,235520,451,500.0,115,0.0011342131,-0.012213817797601223,0.0003,0.020166015625,1140,-9.700272560119629,0.2,1.8079276742355432e-07,-0.2716248041950166,1.0120890510734171e-05
500.0,517,237568,459,500.0,116,0.0026051856,0.002932847011834383,0.0003,0.0298828125,1150,-13.178947448730469,0.2,6.786423085713977e-07,-0.2639763794839382,-0.0009482606401434168
500.0,513,239616,466,500.0,117,0.0022569392,0.001326217781752348,0.0003,0.017041015625,1160,-11.896784782409668,0.2,2.5662824037908648e-05,-0.24200029377825558,-0.0010995219054166228
500.0,510,241664,473,500.0,118,0.00060469424,-0.005990051664412022,0.0003,0.0208984375,1170,-12.772014617919922,0.2,1.136887703978573e-07,-0.2654162097722292,-0.00032781090994831174
500.0,506,243712,480,500.0,119,0.0019575942,-0.001128999050706625,0.0003,0.0232421875,1180,-10.183323860168457,0.2,1.6875696076112945e-07,-0.2528733494691551,0.0005631594933220186
500.0,503,245760,488,500.0,120,0.0011566073,-6.924375338712707e-05,0.0003,0.014892578125,1190,-12.496743202209473,0.2,1.6479945088576642e-07,-0.25198125853203235,0.0009636148723075166
500.0,499,247808,495,500.0,121,0.0024346882,-0.0032145436853170395,0.0003,0.0291015625,1200,-15.509841918945312,0.2,0.00010823914212494401,-0.26988503988832235,0.00011115170054836199
500.0,496,249856,503,500.0,122,0.009705298,0.011447655037045479,0.0003,0.08916015625,1210,-11.225996017456055,0.2,9.171779424832494e-08,-0.27764083901420233,-0.0040244736213935536
500.0,493,251904,510,500.0,123,0.0016503113,-0.0025006746873259544,0.0003,0.02978515625,1220,-7.5114545822143555,0.2,1.094702525961111e-07,-0.265445197885856,-0.00020691075915237888
500.0,490,253952,518,500.0,124,0.00084849156,0.004154806956648827,0.0003,0.01611328125,1230,-8.370870590209961,0.2,9.576159527568962e-08,-0.2702945183031261,2.975388488266617e-05
500.0,486,256000,525,500.0,125,0.0018239109,0.009355537593364716,0.0003,0.017724609375,1240,-8.068187713623047,0.2,1.5173626024989062e-06,-0.26079717013053594,0.0004774952496518381
500.0,483,258048,533,500.0,126,0.003422035,0.001269630971364677,0.0003,0.02265625,1250,-7.798001289367676,0.2,4.0490136825610535e-07,-0.2484937365632504,-0.0017713476379867643
500.0,480,260096,541,500.0,127,0.0020621924,0.0010437426390126348,0.0003,0.016455078125,1260,-9.71960163116455,0.2,1.0285176301749744e-07,-0.2553758549503982,7.866173982620239e-05
500.0,477,262144,549,500.0,128,0.0021873876,0.0008528928156010807,0.0003,0.02021484375,1270,-7.812163352966309,0.2,5.573654232193803e-06,-0.24471411067061127,-0.00119180160399992
500.0,474,264192,556,500.0,129,0.0015669204,0.008327714167535305,0.0003,0.02177734375,1280,-5.928564071655273,0.2,2.804737551400649e-05,-0.250734172668308,0.0010209493048023432
500.0,471,266240,564,500.0,130,0.0036693045,0.0005344676901586354,0.0003,0.025,1290,-4.783181190490723,0.2,1.245511487013573e-06,-0.25641318475827574,0.0010834673681529238
500.0,468,268288,572,500.0,131,0.0014237224,0.0045224204659461975,0.0003,0.017529296875,1300,-9.632856369018555,0.2,2.1559386311764684e-07,-0.2530085637234151,0.0003277746152889449
500.0,465,270336,580,500.0,132,0.002708885,-0.002350343856960535,0.0003,0.018798828125,1310,-7.788947105407715,0.2,2.993135955193793e-05,-0.2413790503051132,-0.0007833167241187766
500.0,462,272384,588,500.0,133,0.0027793995,-0.0016059124609455466,0.0003,0.051904296875,1320,-13.604146003723145,0.2,1.5943424585884713e-06,-0.26511380784213545,0.00012089736992493272
500.0,459,274432,596,500.0,134,0.0024778508,0.00144009361974895,0.0003,0.020361328125,1330,-7.141151428222656,0.2,1.1887462392223824e-07,-0.24590231124311684,0.0007166952782426961
500.0,456,276480,605,500.0,135,0.0014846169,-0.0031252214685082436,0.0003,0.014599609375,1340,-11.728446006774902,0.2,1.5901411290997203e-05,-0.2570068980567157,0.00025718721735756844
500.0,454,278528,613,500.0,136,0.005399471,-0.0035547816660255194,0.0003,0.040478515625,1350,-2.3301618099212646,0.2,2.5908402591312552e-06,-0.2642075235955417,-0.0014097786719503348
500.0,451,280576,621,500.0,137,0.0012700725,-0.0002911031187977642,0.0003,0.014501953125,1360,-3.729491710662842,0.2,2.417370069451863e-07,-0.2602592018898576,0.0002905133627791656
500.0,448,282624,630,500.0,138,0.0016067914,-0.008344708010554314,0.0003,0.027685546875,1370,-2.977417230606079,0.2,3.6316424427695894e-07,-0.26697078365832566,-0.0005096389199024997
500.0,445,284672,638,500.0,139,0.0025178953,-0.008186188526451588,0.0003,0.02080078125,1380,-5.5291852951049805,0.2,1.4260849354741367e-07,-0.2707710847724229,-0.00025182934405165724
500.0,443,286720,647,500.0,140,0.0020887991,-0.0015353666385635734,0.0003,0.023193359375,1390,-3.0613040924072266,0.2,1.7284173830489634e-05,-0.2601642358116806,6.594417791347951e-05
500.0,440,288768,655,500.0,141,0.0034225844,-0.002542271977290511,0.0003,0.0224609375,1400,-6.837904930114746,0.2,1.2804044899894506e-07,-0.25203563962131736,-0.0005460744920128491
500.0,437,290816,664,500.0,142,0.004313816,-0.0069115343503654,0.0003,0.048828125,1410,-3.2152204513549805,0.2,7.309991588044795e-07,-0.2595484639052302,-0.0032852988006197847
