time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/loss
505,500.0,120,486,245760,500.0,1.6479945088576642e-07,1190,-0.25198125853203235,-12.496743202209473,0.0009636148723075166,0.014892578125,0.2,0.0003,0.0011566073,-6.924375338712707e-05
513,500.0,121,482,247808,500.0,0.00010823914212494401,1200,-0.26988503988832235,-15.509841918945312,0.00011115170054836199,0.0291015625,0.2,0.0003,0.0024346882,-0.0032145436853170395
521,500.0,122,479,249856,500.0,9.171779424832494e-08,1210,-0.27764083901420233,-11.225996017456055,-0.0040244736213935536,0.08916015625,0.2,0.0003,0.009705298,0.011447655037045479
529,500.0,123,476,251904,500.0,1.094702525961111e-07,1220,-0.265445197885856,-7.5114545822143555,-0.00020691075915237888,0.02978515625,0.2,0.0003,0.0016503113,-0.0025006746873259544
537,500.0,124,472,253952,500.0,9.576159527568962e-08,1230,-0.2702945183031261,-8.370870590209961,2.975388488266617e-05,0.01611328125,0.2,0.0003,0.00084849156,0.004154806956648827
545,500.0,125,469,256000,500.0,1.5173626024989062e-06,1240,-0.26079717013053594,-8.068187713623047,0.0004774952496518381,0.017724609375,0.2,0.0003,0.0018239109,0.009355537593364716
553,500.0,126,466,258048,500.0,4.0490136825610535e-07,1250,-0.2484937365632504,-7.798001289367676,-0.0017713476379867643,0.02265625,0.2,0.0003,0.003422035,0.001269630971364677
561,500.0,127,463,260096,500.0,1.0285176301749744e-07,1260,-0.2553758549503982,-9.71960163116455,7.866173982620239e-05,0.016455078125,0.2,0.0003,0.0020621924,0.0010437426390126348
569,500.0,128,460,262144,500.0,5.573654232193803e-06,1270,-0.24471411067061127,-7.812163352966309,-0.00119180160399992,0.02021484375,0.2,0.0003,0.0021873876,0.0008528928156010807
1478,500.0,129,178,264192,500.0,2.804737551400649e-05,1280,-0.250734172668308,-5.928564071655273,0.0010209493048023432,0.02177734375,0.2,0.0003,0.0015669204,0.008327714167535305
1486,500.0,130,179,266240,500.0,1.245511487013573e-06,1290,-0.25641318475827574,-4.783181190490723,0.0010834673681529238,0.025,0.2,0.0003,0.0036693045,0.0005344676901586354
1494,500.0,131,179,268288,500.0,2.1559386311764684e-07,1300,-0.2530085637234151,-9.632856369018555,0.0003277746152889449,0.017529296875,0.2,0.0003,0.0014237224,0.0045224204659461975
1502,500.0,132,179,270336,500.0,2.993135955193793e-05,1310,-0.2413790503051132,-7.788947105407715,-0.0007833167241187766,0.018798828125,0.2,0.0003,0.002708885,-0.002350343856960535
1510,500.0,133,180,272384,500.0,1.5943424585884713e-06,1320,-0.26511380784213545,-13.604146003723145,0.00012089736992493272,0.051904296875,0.2,0.0003,0.0027793995,-0.0016059124609455466
1518,500.0,134,180,274432,500.0,1.1887462392223824e-07,1330,-0.24590231124311684,-7.141151428222656,0.0007166952782426961,0.020361328125,0.2,0.0003,0.0024778508,0.00144009361974895
1526,500.0,135,181,276480,500.0,1.5901411290997203e-05,1340,-0.2570068980567157,-11.728446006774902,0.00025718721735756844,0.014599609375,0.2,0.0003,0.0014846169,-0.0031252214685082436
1534,500.0,136,181,278528,500.0,2.5908402591312552e-06,1350,-0.2642075235955417,-2.3301618099212646,-0.0014097786719503348,0.040478515625,0.2,0.0003,0.005399471,-0.0035547816660255194
